Run,Mean,Stdev
0,1.09,1.566
1,1.352,2.236
2,1.891,1.891
3,1.123,1.595
4,2.102,1.815
5,2.193,2.043
6,1.897,3.128
7,1.997,1.441
8,2.108,2.733
9,1.155,1.098
10,1.667,1.367
11,1.867,1.732
12,2.072,1.873
13,1.692,2.239
14,1.567,2.501
15,1.712,2.004
16,1.2,2.026
17,2.032,1.525
18,1.199,1.275
19,0.993,1.531
20,1.892,2.134
21,1.66,1.15
22,1.605,1.602
23,1.567,1.683
24,1.463,1.323
25,1.235,1.771
26,1.924,1.283
27,1.308,2.003
28,1.835,2.26
29,1.264,1.69
30,0.99,1.361
31,1.623,1.683
32,1.775,1.755
33,1.399,1.784
34,1.412,2.346
35,1.125,1.687
36,1.585,1.668
37,1.697,2.005
38,1.609,1.591
39,1.85,2.364
40,2.107,2.534
41,1.426,2.05
42,1.987,2.219
43,1.544,1.708
44,1.406,2.064
45,1.484,2.172
46,1.162,1.797
47,1.979,2.29
48,1.676,2.379
49,1.33,1.248
50,1.716,2.025
51,1.889,1.886
52,1.251,1.85
53,1.636,2.026
54,1.289,1.809
55,1.589,2.225
56,1.272,1.921
57,1.164,1.762
58,1.592,1.612
59,1.813,1.487
60,1.6,2.076
61,1.811,1.798
62,1.569,2.141
63,2.137,2.287
64,1.687,2.697
65,1.98,1.49
66,1.248,2.149
67,2.059,2.595
68,2.042,2.31
69,1.108,1.359
70,1.67,1.81
71,1.703,1.661
72,1.794,2.46
73,1.566,1.195
74,1.763,2.667
75,1.249,1.624
76,1.857,1.863
77,1.136,1.845
78,1.296,1.704
79,1.294,1.076
80,1.81,1.476
81,1.303,2.161
82,1.869,1.282
83,1.198,1.965
84,1.964,2.379
85,1.408,1.777
86,1.197,1.347
87,1.486,2.16
88,1.494,2.243
89,0.896,1.396
90,1.434,1.762
91,1.628,1.703
92,1.582,2.455
93,1.123,1.3
94,1.496,1.843
95,1.623,2.222
96,1.386,1.987
97,1.206,1.955
98,1.727,1.973
99,2.046,2.237
100,1.375,1.883
101,1.039,1.713
102,1.859,2.424
103,1.957,1.334
104,1.924,1.62
105,0.836,1.375
106,2.276,2.321
107,1.567,1.379
108,1.552,1.869
109,1.36,2.214
110,1.479,1.568
111,1.48,1.132
112,1.296,1.598
113,2.087,2.154
114,1.301,1.521
115,1.115,1.794
116,1.08,1.586
117,1.549,1.347
118,1.573,1.857
119,1.927,1.418
120,1.465,1.815
121,1.151,1.47
122,1.306,1.237
123,1.618,2.138
124,1.396,1.777
125,1.144,0.87
126,2.24,1.963
127,1.479,1.393
128,1.527,2.032
129,1.844,2.561
130,1.788,2.534
131,1.904,1.624
132,1.928,1.757
133,1.619,2.204
134,1.156,1.907
135,1.74,1.898
136,1.835,2.991
137,1.849,1.564
138,1.143,1.891
139,2.444,2.311
140,1.636,1.377
141,1.71,2.738
142,1.666,2.366
143,1.334,1.808
144,1.274,1.578
145,1.503,1.71
146,2.411,2.419
147,1.317,1.841
148,1.551,1.415
149,1.628,1.845
150,1.224,2.029
151,1.216,1.662
152,1.719,1.958
153,1.228,2.062
154,2.027,2.021
155,1.808,2.227
156,1.479,2.077
157,1.662,1.922
158,1.627,2.645
159,1.499,1.599
160,1.407,1.612
161,1.248,2.013
162,2.004,1.562
163,1.711,1.58
164,1.845,1.792
165,1.73,1.986
166,1.407,1.843
167,1.863,2.217
168,1.722,1.942
169,1.317,1.939
170,1.044,1.617
171,0.847,1.21
172,1.485,1.902
173,1.75,2.443
174,1.522,2.214
175,1.319,1.683
176,1.241,0.916
177,1.525,2.619
178,1.453,1.612
179,2.002,1.406
180,1.617,1.731
181,1.442,1.136
182,1.864,1.667
183,1.558,1.655
184,1.204,1.89
185,1.367,1.851
