Run,Mean,Stdev
0,0.943,1.447
1,1.266,2.187
2,1.674,1.796
3,1.018,1.563
4,1.84,1.703
5,1.999,2.015
6,1.714,3.027
7,1.773,1.476
8,1.888,2.599
9,1.047,1.05
10,1.499,1.342
11,1.714,1.738
12,1.804,1.736
13,1.518,2.164
14,1.472,2.45
15,1.536,1.892
16,1.1,1.932
17,1.823,1.53
18,1.087,1.285
19,0.933,1.496
20,1.674,1.987
21,1.461,1.233
22,1.401,1.571
23,1.395,1.588
24,1.34,1.345
25,1.08,1.614
26,1.74,1.336
27,1.18,1.91
28,1.635,2.143
29,1.099,1.61
30,0.871,1.266
31,1.419,1.604
32,1.64,1.716
33,1.319,1.764
34,1.279,2.19
35,1.041,1.681
36,1.403,1.584
37,1.557,1.982
38,1.47,1.59
39,1.68,2.217
40,1.95,2.454
41,1.296,1.942
42,1.861,2.26
43,1.406,1.668
44,1.221,1.835
45,1.319,2.042
46,1.032,1.656
47,1.857,2.301
48,1.579,2.291
49,1.22,1.237
50,1.54,1.954
51,1.643,1.709
52,1.172,1.811
53,1.481,1.977
54,1.16,1.662
55,1.41,2.109
56,1.202,1.773
57,1.056,1.724
58,1.42,1.587
59,1.612,1.46
60,1.403,1.946
61,1.625,1.737
62,1.388,2.0
63,1.942,2.215
64,1.6,2.624
65,1.796,1.578
66,1.303,2.166
67,1.815,2.42
68,1.856,2.315
69,1.019,1.325
70,1.539,1.737
71,1.54,1.624
72,1.608,2.375
73,1.371,1.181
74,1.563,2.509
75,1.13,1.627
76,1.66,1.796
77,1.003,1.751
78,1.191,1.719
79,1.143,1.05
80,1.633,1.529
81,1.262,2.153
82,1.678,1.329
83,1.079,1.913
84,1.753,2.309
85,1.272,1.711
86,1.063,1.272
87,1.28,2.056
88,1.378,2.144
89,0.848,1.362
90,1.274,1.705
91,1.473,1.657
92,1.446,2.316
93,1.02,1.272
94,1.331,1.743
95,1.493,2.174
96,1.25,1.905
97,1.065,1.798
98,1.592,2.0
99,1.888,2.207
100,1.239,1.78
101,0.987,1.662
102,2.12,2.343
103,1.778,1.396
104,1.673,1.569
105,0.795,1.351
106,2.092,2.262
107,1.328,1.263
108,1.377,1.756
109,1.22,2.095
110,1.348,1.489
111,1.252,1.051
112,1.205,1.554
113,1.852,2.05
114,1.163,1.485
115,0.982,1.627
116,0.939,1.507
117,1.383,1.353
118,1.457,1.851
119,1.709,1.415
