Run,Mean,Stdev
0,1.488,2.039
1,1.697,2.56
2,2.018,2.105
3,1.462,1.839
4,2.261,2.265
5,2.38,2.546
6,2.051,3.071
7,2.217,2.052
8,2.288,2.988
9,1.402,1.558
10,1.863,2.017
11,2.019,2.323
12,2.359,2.593
13,2.163,2.517
14,2.021,3.182
15,2.131,2.688
16,1.553,2.498
17,2.062,2.062
18,1.796,1.886
19,1.469,2.185
20,2.175,2.744
21,1.822,1.65
22,1.763,2.045
23,1.698,2.181
24,1.773,2.046
25,1.692,2.483
26,2.167,1.968
27,1.458,2.113
28,2.279,2.825
29,2.042,2.595
30,1.302,1.743
31,1.778,1.999
32,1.941,2.369
33,1.579,2.102
34,1.594,2.525
35,1.813,2.559
36,2.079,2.364
37,1.993,2.501
38,1.882,2.084
39,2.1,2.954
40,2.233,2.883
41,1.707,2.627
42,2.328,2.968
43,1.763,2.2
44,1.452,2.22
45,1.924,2.484
46,1.542,2.219
47,2.442,3.324
48,2.01,2.855
49,1.514,1.724
50,2.165,2.519
51,1.852,2.154
52,1.513,2.056
53,2.348,2.978
54,1.506,2.139
55,1.926,2.482
56,1.812,2.675
57,1.571,2.352
58,1.856,1.963
59,1.852,1.886
60,1.783,2.192
61,2.052,2.146
62,1.949,2.497
63,2.27,2.579
64,2.146,3.35
65,2.145,1.949
66,1.972,3.109
67,2.326,2.92
68,2.064,2.587
69,1.538,1.936
70,1.752,2.146
71,2.04,2.224
72,2.291,2.89
73,1.759,1.714
74,2.263,3.039
75,1.736,1.996
76,1.76,2.031
77,1.598,2.27
78,1.81,2.383
79,1.361,1.384
80,2.077,1.955
81,1.82,2.893
82,2.059,1.962
83,1.365,2.062
84,2.285,2.777
85,1.862,2.455
86,1.568,1.975
87,1.708,2.145
88,2.053,3.019
89,1.099,1.431
90,1.891,2.221
91,1.697,2.059
92,1.833,2.821
93,1.51,1.863
94,1.627,2.318
95,1.803,2.428
96,1.618,2.33
97,1.389,2.178
98,2.176,2.758
99,2.207,2.766
100,1.8,2.369
101,1.245,2.087
102,2.114,2.466
103,1.946,1.989
104,1.932,1.979
105,1.382,2.209
106,2.354,3.051
107,1.82,1.807
108,1.818,2.236
109,1.768,2.666
110,1.729,2.037
111,1.859,1.776
112,1.634,2.198
113,2.077,2.374
114,1.613,2.013
115,1.433,2.362
116,1.52,1.936
117,1.79,1.968
118,2.066,2.576
119,2.192,2.303
120,1.854,2.326
121,1.724,1.811
122,1.699,1.901
123,2.038,2.858
124,1.715,1.904
125,1.564,1.505
126,2.206,2.073
127,1.785,1.978
128,2.173,2.683
129,2.184,2.813
130,2.205,3.317
131,2.07,2.056
132,1.974,2.022
133,1.919,2.456
134,1.689,2.491
135,2.154,2.72
136,2.357,3.679
137,1.73,2.037
138,1.675,2.521
139,2.356,2.505
140,1.72,1.783
141,1.742,2.845
142,1.771,2.436
143,1.701,2.165
144,1.611,1.859
145,1.689,2.286
146,2.513,2.892
147,1.843,2.916
148,2.127,2.203
149,1.734,2.201
150,1.71,2.525
151,1.416,1.871
152,2.148,2.615
153,1.522,2.505
154,2.113,2.469
155,2.416,3.442
156,1.701,2.237
157,2.073,2.626
158,1.796,2.944
159,1.729,1.968
160,1.64,1.946
161,1.744,2.479
162,2.15,1.827
163,1.569,1.776
164,2.164,2.357
165,1.657,2.278
166,1.697,2.31
167,1.891,2.405
168,1.879,2.423
