Run,Mean,Stdev
0,1.885,1.863
1,2.573,2.702
2,2.862,2.296
3,1.932,1.962
4,3.094,2.141
5,3.326,2.454
6,3.519,3.866
7,2.744,1.722
8,3.568,3.323
9,1.764,1.289
10,2.371,1.613
11,2.833,2.065
12,3.04,2.234
13,2.876,2.726
14,2.894,3.044
15,2.736,2.454
16,2.239,2.481
17,2.815,1.849
18,1.888,1.481
19,1.8,1.832
20,3.063,2.565
21,2.243,1.385
22,2.419,1.948
23,2.382,2.092
24,2.113,1.61
25,2.074,2.201
26,2.537,1.52
27,2.459,2.342
28,2.959,2.809
29,2.154,2.005
30,1.769,1.572
31,2.46,2.059
32,2.69,2.146
33,2.321,2.179
34,2.646,2.847
35,2.014,2.051
36,2.405,2.044
37,2.735,2.456
38,2.455,1.913
39,3.115,2.869
40,3.521,3.045
41,2.543,2.456
42,3.147,2.737
43,2.405,2.114
44,2.557,2.361
45,2.536,2.707
46,2.104,2.155
47,3.225,2.773
48,3.404,2.543
49,2.034,1.473
50,2.835,2.44
51,2.884,2.262
52,2.242,2.236
53,2.68,2.488
54,2.287,2.126
55,2.826,2.636
56,2.382,2.194
57,2.087,2.122
58,2.366,2.002
59,2.48,1.843
60,2.769,2.455
61,2.727,2.207
62,2.756,2.545
63,3.447,2.716
64,3.134,3.297
65,2.668,1.849
66,2.588,2.56
67,3.349,3.214
68,3.149,2.922
69,1.841,1.633
70,2.688,2.158
71,2.568,2.015
72,3.068,3.025
73,2.062,1.472
74,3.103,3.315
75,2.126,1.947
76,2.83,2.248
77,2.036,2.287
78,2.109,2.149
79,1.878,1.253
80,2.6,1.777
81,2.438,2.653
82,2.487,1.538
83,2.165,2.426
84,3.145,2.97
85,2.301,2.188
86,1.82,1.667
87,2.57,2.665
88,2.718,2.69
89,1.644,1.643
90,2.289,2.207
91,2.496,2.084
92,2.925,2.958
93,1.801,1.57
94,2.429,2.269
95,2.747,2.767
96,2.349,2.469
97,2.242,2.357
98,2.706,2.458
99,3.131,2.81
100,2.374,2.241
101,2.013,2.023
102,3.06,2.596
103,2.684,1.578
104,2.72,1.975
105,1.584,1.626
106,3.47,2.836
107,2.31,1.604
108,2.615,2.167
109,2.503,2.718
110,2.348,1.845
111,1.984,1.373
112,2.193,1.895
113,3.202,2.639
114,2.074,1.854
115,2.07,2.144
116,1.928,1.892
117,2.253,1.595
118,2.484,2.327
119,2.552,1.78
120,2.382,2.18
121,1.841,1.793
122,1.931,1.514
123,2.852,2.532
124,2.381,2.099
125,1.499,1.04
126,3.191,2.431
127,2.174,1.701
128,2.65,2.421
129,3.211,3.107
130,3.087,3.132
131,2.742,1.959
132,2.854,2.129
133,2.892,2.567
134,2.092,2.354
135,2.792,2.261
136,3.373,3.702
137,2.595,1.943
138,2.169,2.271
139,3.572,2.898
140,2.395,1.605
141,3.213,3.273
142,2.968,2.821
143,2.323,2.153
144,2.053,1.933
145,2.367,2.109
146,3.644,3.008
147,2.262,2.27
148,2.283,1.694
149,2.577,2.249
150,2.288,2.484
151,2.14,1.931
152,2.681,2.437
153,2.327,2.487
154,3.142,2.423
155,3.09,2.635
156,2.602,2.516
157,2.645,2.38
158,3.113,3.148
159,2.324,1.949
160,2.207,1.978
161,2.329,2.432
162,2.779,1.899
163,2.451,1.998
164,2.767,2.183
165,2.78,2.433
166,2.39,2.224
167,3.009,2.709
168,2.771,2.328
169,2.408,2.294
170,1.955,1.892
171,1.496,1.447
172,2.503,2.286
173,3.014,3.01
174,2.709,2.686
175,2.289,1.981
176,1.656,1.084
177,2.929,3.18
178,2.305,1.955
179,2.667,1.704
180,2.431,2.167
181,1.92,1.375
182,2.741,2.011
183,2.486,1.972
184,2.228,2.244
185,2.321,2.256
186,2.655,2.381
187,2.252,2.171
188,3.615,3.572
189,1.929,1.934
190,1.961,1.281
191,3.645,2.984
192,1.76,1.147
193,2.661,1.739
194,1.556,1.489
195,1.998,2.102
196,3.228,3.006
197,2.603,2.519
198,2.253,2.114
199,2.316,2.452
200,2.114,2.254
201,2.966,3.297
202,2.837,2.123
203,2.509,2.392
204,2.284,1.43
205,3.139,2.668
206,3.194,2.311
207,2.983,2.557
208,3.145,2.797
209,2.654,1.884
210,2.904,2.795
211,3.03,2.659
212,2.939,3.237
213,2.046,1.915
214,2.487,1.649
215,2.413,2.134
216,2.208,1.207
217,2.53,2.349
218,2.045,1.594
219,2.462,2.345
220,2.829,2.398
221,2.445,2.012
222,2.126,1.823
223,2.39,2.579
224,3.255,2.974
225,2.744,2.749
226,2.488,2.045
227,2.046,1.804
228,2.377,1.964
229,2.001,1.937
230,2.045,1.359
231,2.973,2.366
232,2.108,2.116
233,2.171,1.945
234,2.535,2.189
235,3.191,2.892
236,2.342,1.965
237,2.284,1.733
238,2.307,1.878
239,1.822,1.767
240,3.308,2.717
241,2.84,2.403
242,3.331,2.763
243,2.531,2.39
244,2.316,1.989
245,2.35,2.223
246,2.699,2.864
247,1.732,1.148
248,2.406,2.136
249,2.069,1.83
250,3.0,2.592
251,2.589,2.567
252,2.546,1.883
253,2.439,2.112
254,2.812,1.909
255,2.751,2.066
256,2.299,2.274
257,2.559,2.188
258,2.476,1.735
259,3.228,3.283
260,2.269,2.395
261,2.888,2.758
262,2.566,1.713
263,2.196,2.252
264,2.086,1.406
265,2.167,1.851
266,2.55,2.003
267,1.718,1.533
268,2.606,1.898
269,2.66,2.288
270,2.704,2.386
271,2.473,1.916
272,2.619,1.934
273,2.691,2.972
274,2.701,1.793
275,3.06,2.694
276,2.246,2.031
277,2.995,2.039
278,1.614,1.36
279,2.661,2.245
280,2.203,2.163
281,2.305,2.091
282,1.744,1.305
283,2.699,2.67
284,2.035,1.433
285,1.932,1.812
286,2.575,2.756
287,2.588,1.823
288,2.655,1.777
289,2.136,1.278
290,2.379,1.911
291,3.233,3.154
292,3.372,2.787
293,2.895,2.291
294,3.173,2.589
295,1.638,1.493
296,2.665,1.839
297,2.834,2.808
298,1.804,1.798
299,2.135,1.83
300,2.744,2.304
301,2.036,1.962
302,2.365,1.927
303,2.893,2.711
304,3.049,2.795
305,2.206,2.245
306,2.323,1.85
307,3.114,2.928
308,2.885,2.571
309,1.949,1.636
310,2.407,1.748
311,2.751,2.665
312,2.657,2.215
313,2.205,1.698
314,2.874,2.96
315,1.839,1.788
316,2.499,2.102
317,2.728,2.405
318,2.882,3.091
319,2.372,2.464
320,1.873,1.837
321,2.778,2.684
322,2.551,1.866
323,2.505,2.705
324,3.007,2.322
325,1.58,1.417
326,2.099,2.133
327,3.348,3.502
328,2.817,2.347
329,3.334,2.891
330,2.726,1.931
331,2.418,2.247
332,3.502,3.761
333,2.664,2.495
334,2.837,2.396
335,2.01,2.093
336,3.004,2.513
337,2.947,2.083
338,1.918,1.723
339,1.748,1.433
340,2.759,2.547
341,2.727,2.582
342,2.608,1.916
343,3.641,3.308
344,2.234,1.888
345,2.527,2.027
346,2.129,1.73
347,2.819,2.379
348,2.401,2.664
349,2.962,3.186
350,2.969,2.342
351,2.342,2.218
352,2.641,2.344
353,2.794,2.519
354,3.421,3.13
355,2.696,2.923
356,3.161,2.656
357,2.466,2.066
358,2.657,1.671
359,2.043,2.1
360,2.73,2.794
361,3.138,3.071
362,2.963,2.316
363,2.24,2.186
364,2.807,2.902
365,1.737,1.273
366,2.318,1.63
367,3.224,3.182
368,3.619,3.014
369,2.391,2.279
370,3.028,2.683
371,2.707,2.276
372,2.629,2.358
373,2.934,2.892
374,3.596,2.786
375,3.315,3.424
376,2.277,2.251
377,2.41,1.677
378,2.977,2.312
379,2.382,1.891
380,2.594,1.855
381,1.834,1.896
382,1.632,1.382
383,3.014,2.522
384,2.87,2.627
385,2.166,2.138
386,1.58,1.011
387,2.632,2.444
388,2.038,1.818
389,2.175,2.12
390,3.032,2.68
391,3.329,3.598
392,2.643,1.909
393,2.039,1.569
394,2.423,2.095
395,2.833,2.528
396,3.198,2.634
397,2.465,1.811
398,1.514,1.264
399,2.848,1.953
400,2.057,1.583
401,2.739,2.607
402,2.926,3.114
403,3.244,2.698
404,2.395,2.143
405,2.596,2.279
406,3.702,3.225
407,3.298,2.86
408,2.32,1.893
409,2.747,2.208
410,2.307,1.771
411,2.232,1.285
412,1.469,1.471
413,2.104,1.977
