Run,Mean,Stdev
0,1.708,1.727
1,2.486,2.637
2,2.606,2.126
3,1.881,1.885
4,2.821,1.928
5,3.14,2.324
6,3.307,3.735
7,2.551,1.604
8,3.279,3.145
9,1.654,1.196
10,2.229,1.497
11,2.665,2.009
12,2.741,1.967
13,2.748,2.577
14,2.811,2.983
15,2.554,2.282
16,2.105,2.383
17,2.591,1.711
18,1.867,1.475
19,1.77,1.789
20,2.752,2.354
21,2.047,1.341
22,2.167,1.88
23,2.191,1.915
24,2.075,1.586
25,1.887,1.977
26,2.443,1.43
27,2.292,2.245
28,2.746,2.623
29,2.018,1.903
30,1.611,1.47
31,2.265,1.91
32,2.563,2.019
33,2.288,2.132
34,2.451,2.661
35,1.977,2.028
36,2.271,1.889
37,2.655,2.375
38,2.332,1.885
39,2.882,2.661
40,3.344,2.897
41,2.37,2.33
42,3.06,2.71
43,2.237,2.03
44,2.276,2.114
45,2.378,2.513
46,1.934,1.986
47,3.146,2.739
48,3.139,2.474
49,1.921,1.409
50,2.653,2.318
51,2.557,1.991
52,2.196,2.163
53,2.576,2.381
54,2.108,1.953
55,2.628,2.474
56,2.28,1.953
57,1.997,2.091
58,2.264,1.92
59,2.279,1.735
60,2.518,2.291
61,2.549,2.057
62,2.548,2.344
63,3.226,2.562
64,3.05,3.178
65,2.564,1.869
66,2.726,2.492
67,3.083,2.948
68,2.962,2.857
69,1.773,1.567
70,2.523,2.035
71,2.43,1.918
72,2.905,2.863
73,1.91,1.339
74,2.904,3.065
75,2.065,1.923
76,2.598,2.105
77,1.868,2.188
78,2.057,2.135
79,1.724,1.205
80,2.463,1.741
81,2.424,2.635
82,2.343,1.475
83,2.026,2.399
84,2.909,2.851
85,2.168,2.093
86,1.694,1.553
87,2.348,2.524
88,2.614,2.537
89,1.657,1.595
90,2.159,2.096
91,2.318,1.982
92,2.748,2.77
93,1.735,1.509
94,2.205,2.127
95,2.618,2.687
96,2.218,2.367
97,2.027,2.17
98,2.624,2.442
99,3.007,2.701
100,2.255,2.086
101,1.945,1.979
102,2.943,2.384
103,2.495,1.497
104,2.434,1.818
105,1.561,1.607
106,3.262,2.691
107,2.051,1.422
108,2.437,1.998
109,2.33,2.57
110,2.197,1.73
111,1.771,1.218
112,2.098,1.827
113,2.906,2.437
114,1.942,1.812
115,1.868,1.947
116,1.78,1.8
117,2.102,1.553
118,2.436,2.254
119,2.352,1.658
120,2.138,1.949
121,1.672,1.629
122,1.888,1.473
123,2.784,2.471
124,2.205,1.972
125,1.342,0.921
126,2.971,2.218
127,2.033,1.569
128,2.515,2.271
129,2.971,2.896
130,2.973,3.066
131,2.377,1.744
132,2.602,1.959
133,2.69,2.443
134,1.983,2.27
135,2.685,2.292
136,3.191,3.44
137,2.334,1.758
138,2.212,2.235
139,3.321,2.79
140,2.141,1.519
141,2.929,3.006
142,2.744,2.682
143,2.136,2.013
144,1.977,1.901
145,2.301,2.058
146,3.492,2.946
147,2.176,2.214
148,2.192,1.58
149,2.436,2.116
150,2.182,2.426
151,1.892,1.751
152,2.544,2.269
153,2.163,2.327
154,2.914,2.218
155,2.954,2.503
156,2.502,2.434
157,2.51,2.329
158,2.944,2.971
159,2.141,1.866
160,1.978,1.807
161,2.185,2.367
162,2.505,1.734
163,2.293,1.889
164,2.596,2.032
165,2.699,2.38
166,2.234,2.138
167,2.723,2.528
168,2.599,2.231
169,2.228,2.151
170,1.825,1.862
171,1.397,1.451
172,2.29,2.078
173,2.773,2.81
174,2.53,2.545
175,2.189,1.901
176,1.544,1.105
177,2.747,2.976
178,2.144,1.823
179,2.63,1.728
180,2.285,2.021
181,1.778,1.246
182,2.501,1.839
183,2.346,1.883
184,2.037,2.054
185,2.182,2.122
186,2.477,2.266
187,2.104,2.097
188,3.362,3.318
189,1.848,1.897
190,1.858,1.24
191,3.443,2.805
192,1.664,1.115
193,2.489,1.643
194,1.503,1.409
195,1.894,1.969
196,2.991,2.859
197,2.494,2.364
198,2.035,1.946
199,2.221,2.325
200,2.128,2.233
201,2.763,3.104
202,2.623,2.019
203,2.321,2.219
204,2.176,1.324
205,2.93,2.524
206,3.062,2.181
207,2.797,2.426
208,2.951,2.66
209,2.494,1.771
210,2.771,2.643
211,2.749,2.442
212,2.699,3.038
213,1.933,1.844
214,2.334,1.622
215,2.236,2.05
