Run,Mean,Stdev
0,2.522,2.446
1,3.076,3.094
2,3.145,2.535
3,2.406,2.257
4,3.554,2.655
5,3.78,3.052
6,3.707,3.772
7,3.29,2.457
8,3.898,3.617
9,2.239,1.846
10,2.897,2.415
11,3.331,2.764
12,3.705,3.093
13,3.501,3.048
14,3.676,3.895
15,3.544,3.248
16,2.853,3.044
17,3.153,2.492
18,2.817,2.22
19,2.599,2.622
20,3.693,3.265
21,2.703,1.958
22,2.837,2.474
23,2.803,2.671
24,2.829,2.497
25,2.902,3.055
26,3.195,2.354
27,2.697,2.476
28,3.689,3.486
29,3.952,2.886
30,2.271,2.047
31,2.783,2.462
32,3.177,2.894
33,2.659,2.575
34,2.927,3.064
35,3.144,3.113
36,3.25,2.88
37,3.28,3.075
38,3.041,2.484
39,3.651,3.589
40,3.832,3.46
41,3.114,3.157
42,3.861,3.639
43,2.901,2.695
44,2.674,2.596
45,3.13,3.075
46,2.706,2.654
47,4.192,4.045
48,4.059,3.067
49,2.51,2.009
50,3.543,3.019
51,3.027,2.573
52,2.623,2.484
53,3.89,3.625
54,2.671,2.537
55,3.268,2.973
56,3.296,3.108
57,2.851,2.835
58,2.82,2.424
59,2.769,2.31
60,3.017,2.591
61,3.16,2.608
62,3.319,2.98
63,3.727,3.054
64,3.907,4.098
65,3.115,2.408
66,3.994,3.612
67,3.81,3.597
68,3.349,3.228
69,2.548,2.323
70,2.972,2.547
71,3.225,2.681
72,3.811,3.526
73,2.564,2.102
74,3.815,3.744
75,2.828,2.386
76,2.82,2.449
77,2.746,2.789
78,2.991,2.971
79,2.085,1.661
80,3.135,2.331
81,3.316,3.551
82,3.05,2.386
83,2.412,2.538
84,3.693,3.419
85,3.103,2.999
86,2.505,2.431
87,2.847,2.624
88,3.657,3.632
89,1.896,1.68
90,2.991,2.749
91,2.742,2.515
92,3.363,3.405
93,2.459,2.254
94,2.818,2.842
95,3.05,3.006
96,2.792,2.881
97,2.528,2.645
98,3.609,3.384
99,3.593,3.446
100,3.02,2.855
101,2.408,2.494
102,3.257,2.633
103,3.036,2.359
104,2.961,2.399
105,2.547,2.631
106,3.966,3.718
107,2.82,2.125
108,3.079,2.621
109,3.173,3.248
110,2.838,2.397
111,2.684,2.174
112,2.831,2.626
113,3.331,2.879
114,2.635,2.467
115,2.668,2.852
116,2.557,2.315
117,2.825,2.356
118,3.353,3.187
119,3.285,2.846
120,3.039,2.806
121,2.948,2.079
122,2.674,2.303
123,3.649,3.388
124,2.805,2.243
125,2.266,1.789
126,3.256,2.552
127,2.776,2.406
128,3.606,3.202
129,3.701,3.407
130,3.929,4.062
131,3.169,2.452
132,3.086,2.428
133,3.306,2.878
134,2.967,3.04
135,3.678,3.245
136,4.246,4.519
137,2.748,2.496
138,3.04,3.038
139,3.665,3.086
140,2.738,2.08
