Run,Mean,Stdev
0,0.348,0.601
1,0.214,0.412
2,0.985,0.538
3,0.368,0.385
4,1.179,0.568
5,1.135,0.366
6,0.378,0.439
7,1.3,0.49
8,0.747,0.556
9,0.585,0.322
10,1.011,0.543
11,0.967,0.379
12,1.171,0.669
13,0.588,0.482
14,0.332,0.539
15,0.757,0.51
16,0.232,0.506
17,1.302,0.448
18,0.556,0.492
19,0.241,0.476
20,0.799,0.439
21,1.115,0.391
22,0.847,0.478
23,0.806,0.438
24,0.857,0.454
25,0.451,0.523
26,1.352,0.589
27,0.235,0.504
28,0.788,0.495
29,0.411,0.507
30,0.264,0.43
31,0.842,0.506
32,0.922,0.392
33,0.54,0.44
34,0.261,0.58
35,0.297,0.401
36,0.82,0.52
37,0.73,0.453
38,0.821,0.442
39,0.671,0.499
40,0.789,0.417
41,0.386,0.505
42,0.906,0.343
43,0.742,0.37
44,0.333,0.807
45,0.504,0.55
46,0.283,0.557
47,0.819,0.423
48,0.204,0.517
49,0.674,0.301
50,0.674,0.356
51,0.961,0.565
52,0.326,0.427
53,0.664,0.446
54,0.359,0.564
55,0.436,0.584
56,0.248,0.689
57,0.3,0.506
58,0.873,0.467
59,1.191,0.556
60,0.51,0.507
61,0.957,0.447
62,0.462,0.529
63,0.915,0.371
64,0.338,0.4
65,1.339,0.501
66,0.124,0.481
67,0.857,0.625
68,1.011,0.404
69,0.425,0.341
70,0.722,0.357
71,0.897,0.448
72,0.607,0.493
73,1.103,0.539
74,0.516,0.53
75,0.431,0.419
76,0.951,0.547
77,0.298,0.494
78,0.538,0.339
79,0.749,0.394
80,1.074,0.375
81,0.246,0.394
82,1.293,0.529
83,0.297,0.543
84,0.866,0.466
85,0.577,0.456
86,0.615,0.466
87,0.47,0.502
88,0.355,0.536
89,0.205,0.509
90,0.636,0.378
91,0.818,0.44
92,0.331,0.494
93,0.49,0.372
94,0.624,0.432
95,0.575,0.36
96,0.489,0.527
97,0.24,0.527
98,0.816,0.415
99,1.034,0.44
100,0.444,0.605
101,0.131,0.383
102,0.319,0.747
103,1.278,0.404
104,1.181,0.542
105,0.136,0.412
106,1.164,0.589
107,0.875,0.531
108,0.561,0.582
109,0.295,0.494
110,0.668,0.463
111,1.008,0.506
112,0.46,0.366
113,1.048,0.489
114,0.58,0.433
115,0.225,0.54
116,0.288,0.48
117,0.892,0.49
118,0.723,0.351
119,1.344,0.48
120,0.61,0.65
121,0.501,0.541
122,0.723,0.34
123,0.467,0.334
124,0.477,0.492
125,0.812,0.47
126,1.353,0.557
127,0.829,0.422
128,0.48,0.498
129,0.571,0.568
130,0.576,0.479
131,1.123,0.506
132,1.065,0.449
133,0.433,0.573
134,0.277,0.505
135,0.76,0.456
136,0.404,0.521
137,1.153,0.451
138,0.195,0.499
139,1.393,0.454
140,0.925,0.464
141,0.309,0.661
142,0.454,0.598
143,0.413,0.487
144,0.547,0.483
145,0.698,0.406
146,1.26,0.361
147,0.436,0.38
148,0.869,0.478
149,0.742,0.486
150,0.234,0.412
151,0.355,0.574
152,0.823,0.457
153,0.205,0.537
154,0.988,0.432
155,0.614,0.398
156,0.433,0.413
157,0.745,0.348
158,0.242,0.563
159,0.73,0.418
160,0.66,0.471
161,0.24,0.461
162,1.281,0.515
163,1.021,0.336
164,0.986,0.482
165,0.752,0.351
166,0.491,0.462
167,0.795,0.546
168,0.744,0.502
169,0.3,0.458
170,0.196,0.47
171,0.242,0.35
172,0.537,0.508
173,0.572,0.461
174,0.417,0.473
175,0.414,0.338
176,0.854,0.465
177,0.217,0.542
178,0.659,0.389
179,1.383,0.564
180,0.858,0.468
181,0.996,0.563
182,1.047,0.457
183,0.692,0.33
184,0.25,0.572
185,0.477,0.493
186,0.419,0.385
187,0.519,0.354
188,0.835,0.508
189,0.435,0.426
190,0.737,0.306
191,1.075,0.415
192,0.847,0.361
193,1.078,0.348
194,0.416,0.362
195,0.367,0.384
196,0.483,0.491
197,0.525,0.529
198,0.677,0.489
199,0.49,0.426
200,0.359,0.411
201,0.418,0.435
202,1.031,0.414
203,0.565,0.516
204,1.082,0.398
205,0.896,0.443
206,1.296,0.53
207,0.724,0.402
208,0.951,0.399
209,0.952,0.451
210,0.517,0.461
211,1.07,0.504
212,0.315,0.544
213,0.443,0.473
214,0.97,0.375
215,0.429,0.496
216,1.283,0.372
217,0.567,0.462
218,0.814,0.421
219,0.445,0.477
220,0.773,0.405
221,0.893,0.463
222,0.545,0.618
223,0.494,0.503
224,0.967,0.36
225,0.555,0.693
226,0.733,0.575
227,0.642,0.449
228,0.823,0.401
229,0.324,0.534
230,1.267,0.545
231,0.911,0.386
232,0.37,0.465
233,0.54,0.453
234,0.496,0.378
235,0.984,0.341
236,0.503,0.369
237,0.814,0.385
238,0.994,0.482
239,0.366,0.606
240,1.085,0.448
241,0.695,0.476
242,0.98,0.361
243,0.405,0.462
244,0.692,0.414
245,0.29,0.327
246,0.445,0.459
247,0.877,0.413
248,0.281,0.36
249,0.498,0.478
250,0.797,0.312
251,0.476,0.604
252,0.934,0.383
253,0.641,0.39
254,1.375,0.535
255,1.23,0.494
256,0.446,0.38
257,0.891,0.525
258,1.198,0.479
259,0.406,0.89
260,0.417,0.391
261,0.478,0.742
262,1.181,0.501
263,0.233,0.43
264,1.021,0.477
265,0.511,0.601
266,0.864,0.458
267,0.352,0.331
268,1.008,0.34
269,0.765,0.444
270,0.332,0.585
271,0.926,0.477
272,1.152,0.431
273,0.473,0.453
274,1.013,0.346
275,0.883,0.426
276,0.413,0.545
277,1.2,0.48
278,0.389,0.369
279,1.092,0.445
280,0.26,0.557
281,0.786,0.555
282,0.619,0.385
283,0.435,0.516
284,1.015,0.432
285,0.443,0.347
286,0.148,0.427
287,1.228,0.483
288,1.167,0.636
289,1.074,0.409
290,0.84,0.384
291,0.567,0.404
292,1.247,0.421
293,1.165,0.45
294,0.976,0.551
295,0.687,0.436
296,1.217,0.547
297,0.532,0.494
298,0.522,0.493
299,0.839,0.487
300,0.964,0.508
301,0.298,0.367
302,0.841,0.417
303,0.811,0.516
304,0.603,0.699
305,0.459,0.376
306,0.809,0.441
307,0.972,0.467
308,0.607,0.464
309,0.472,0.468
310,1.209,0.542
311,0.474,0.442
312,0.582,0.36
313,0.827,0.581
314,0.13,0.352
315,0.328,0.503
316,0.616,0.349
317,0.895,0.437
318,0.532,0.459
319,0.274,0.497
320,0.353,0.345
321,0.588,0.457
322,0.917,0.576
323,0.333,0.39
324,1.071,0.439
325,0.511,0.449
326,0.398,0.305
327,0.207,0.504
328,0.785,0.363
329,0.854,0.558
330,0.954,0.451
331,0.575,0.573
332,0.426,0.628
333,0.564,0.531
334,0.871,0.437
335,0.261,0.478
336,0.74,0.368
337,1.115,0.39
338,0.31,0.532
339,0.534,0.518
340,0.537,0.31
341,0.776,0.535
342,1.215,0.359
343,1.039,0.519
344,0.661,0.391
345,0.631,0.392
346,0.67,0.313
347,0.765,0.425
348,0.361,0.435
