Run,Mean,Stdev
0,0.226,0.441
1,0.126,0.249
2,0.794,0.637
3,0.211,0.23
4,0.922,0.623
5,0.931,0.671
6,0.226,0.341
7,1.044,0.84
8,0.587,0.57
9,0.477,0.336
10,0.816,0.648
11,0.824,0.657
12,0.926,0.787
13,0.369,0.345
14,0.223,0.277
15,0.584,0.417
16,0.16,0.294
17,1.104,0.849
18,0.359,0.242
19,0.152,0.266
20,0.664,0.589
21,0.911,0.792
22,0.683,0.632
23,0.649,0.545
24,0.652,0.409
25,0.321,0.425
26,1.082,0.798
27,0.141,0.341
28,0.596,0.471
29,0.24,0.313
30,0.18,0.298
31,0.627,0.508
32,0.775,0.583
33,0.413,0.268
34,0.185,0.43
35,0.168,0.205
36,0.59,0.385
37,0.529,0.376
38,0.664,0.474
39,0.554,0.521
40,0.645,0.536
41,0.291,0.369
42,0.739,0.652
43,0.626,0.515
44,0.234,0.569
45,0.331,0.376
46,0.189,0.385
47,0.652,0.474
48,0.136,0.362
49,0.564,0.458
50,0.5,0.363
51,0.786,0.651
52,0.216,0.275
53,0.457,0.29
54,0.272,0.39
55,0.273,0.456
56,0.169,0.568
57,0.177,0.249
58,0.636,0.397
59,0.988,0.713
60,0.361,0.415
61,0.759,0.567
62,0.305,0.42
63,0.741,0.61
64,0.246,0.3
65,1.077,0.695
66,0.064,0.278
67,0.628,0.542
68,0.821,0.729
69,0.313,0.262
70,0.618,0.453
71,0.707,0.47
72,0.392,0.428
73,0.865,0.692
74,0.311,0.397
75,0.255,0.28
76,0.781,0.707
77,0.195,0.314
78,0.379,0.288
79,0.599,0.397
80,0.854,0.66
81,0.177,0.207
82,1.054,0.754
83,0.194,0.288
84,0.671,0.541
85,0.435,0.345
86,0.471,0.38
87,0.279,0.389
88,0.224,0.341
89,0.104,0.255
90,0.445,0.301
91,0.681,0.582
92,0.23,0.38
93,0.349,0.271
94,0.509,0.498
95,0.44,0.319
96,0.345,0.295
97,0.165,0.413
98,0.628,0.487
99,0.841,0.577
100,0.288,0.422
