Run,Mean,Stdev
0,0.524,0.731
1,0.411,0.562
2,0.964,0.522
3,0.588,0.457
4,1.057,0.579
5,1.07,0.543
6,0.523,0.366
7,1.214,0.655
8,0.785,0.615
9,0.619,0.486
10,0.897,0.7
11,0.795,0.45
12,1.101,0.895
13,0.917,0.598
14,0.479,0.7
15,0.812,0.722
16,0.34,0.616
17,1.044,0.527
18,0.846,0.638
19,0.417,0.726
20,0.756,0.668
21,1.0,0.536
22,0.761,0.541
23,0.666,0.577
24,0.787,0.512
25,0.562,0.757
26,1.207,0.637
27,0.313,0.444
28,0.963,0.709
29,0.591,0.806
30,0.399,0.524
31,0.84,0.499
32,0.787,0.524
33,0.571,0.502
34,0.35,0.602
35,0.573,0.659
36,0.987,0.77
37,0.79,0.525
38,0.796,0.444
39,0.65,0.711
40,0.74,0.539
41,0.394,0.691
42,0.897,0.666
43,0.7,0.488
44,0.312,0.743
45,0.8,0.703
46,0.456,0.713
47,0.811,0.759
48,0.258,0.647
49,0.582,0.426
50,0.88,0.587
51,0.753,0.541
52,0.478,0.447
53,0.91,0.774
54,0.419,0.626
55,0.675,0.651
56,0.447,0.984
57,0.389,0.559
58,0.957,0.545
59,0.996,0.615
60,0.63,0.529
61,1.016,0.584
62,0.672,0.625
63,0.908,0.565
64,0.504,0.67
65,1.24,0.488
66,0.273,0.726
67,0.942,0.667
68,0.864,0.493
69,0.595,0.609
70,0.613,0.406
71,0.934,0.567
72,0.87,0.604
73,1.007,0.621
74,0.815,0.665
75,0.718,0.494
76,0.769,0.591
77,0.528,0.575
78,0.708,0.483
79,0.685,0.424
80,1.088,0.547
81,0.426,0.628
82,1.133,0.595
83,0.389,0.485
84,0.971,0.658
85,0.706,0.701
86,0.694,0.667
87,0.657,0.436
88,0.557,0.828
89,0.366,0.463
90,0.864,0.552
91,0.721,0.562
92,0.405,0.585
93,0.625,0.59
94,0.513,0.525
95,0.637,0.391
96,0.523,0.514
97,0.326,0.549
98,0.839,0.567
99,0.912,0.489
100,0.663,0.755
101,0.161,0.435
102,0.501,0.668
103,0.928,0.558
104,0.971,0.535
105,0.308,0.773
106,0.849,0.646
107,0.887,0.548
108,0.642,0.626
109,0.457,0.588
110,0.692,0.661
111,1.088,0.675
112,0.515,0.561
113,0.905,0.566
114,0.659,0.521
115,0.282,0.668
116,0.563,0.6
117,0.823,0.611
118,0.863,0.603
119,1.172,0.735
120,0.75,0.764
121,0.763,0.599
122,0.79,0.565
123,0.534,0.634
124,0.708,0.465
125,0.909,0.706
126,1.226,0.493
127,0.86,0.624
128,0.836,0.806
129,0.77,0.571
130,0.595,0.706
131,1.044,0.622
132,0.937,0.425
133,0.624,0.681
134,0.495,0.652
135,0.733,0.539
136,0.597,0.833
137,0.779,0.575
138,0.419,0.656
139,1.135,0.399
140,0.765,0.476
141,0.27,0.61
142,0.517,0.542
143,0.598,0.534
144,0.729,0.511
145,0.596,0.497
146,1.11,0.462
147,0.451,0.759
148,1.057,0.665
149,0.652,0.514
150,0.443,0.545
151,0.428,0.52
152,0.91,0.656
153,0.286,0.642
154,0.833,0.496
155,0.665,0.979
156,0.555,0.371
157,0.813,0.642
158,0.273,0.624
159,0.728,0.446
160,0.713,0.498
161,0.527,0.649
162,1.271,0.574
163,0.756,0.325
164,0.974,0.577
165,0.507,0.362
166,0.559,0.601
167,0.712,0.566
168,0.653,0.546
169,0.38,0.455
170,0.312,0.522
171,0.375,0.403
172,0.625,0.63
173,0.539,0.426
174,0.423,0.481
175,0.687,0.583
176,0.888,0.496
177,0.382,0.836
178,0.536,0.582
179,1.201,0.523
180,1.045,0.594
181,0.879,0.507
182,0.974,0.549
183,0.677,0.352
184,0.441,0.8
185,0.799,0.687
186,0.73,0.517
187,0.64,0.714
188,0.934,0.74
189,0.824,0.674
190,0.667,0.51
191,0.954,0.551
192,0.678,0.438
193,0.903,0.481
194,0.597,0.595
195,0.6,0.582
196,0.647,0.458
197,0.76,0.71
198,0.672,0.66
199,0.471,0.726
200,0.454,0.481
201,0.41,0.737
202,0.862,0.57
203,0.575,0.556
204,1.059,0.445
205,0.74,0.474
206,1.161,0.533
207,0.535,0.609
208,0.646,0.41
209,0.975,0.479
210,0.726,0.63
211,0.742,0.487
212,0.477,0.536
213,0.584,0.556
214,0.688,0.352
215,0.729,0.557
216,1.053,0.577
217,0.404,0.453
218,0.657,0.387
219,0.59,0.469
220,0.744,0.58
221,0.973,0.578
222,0.784,0.737
223,0.538,0.657
224,0.7,0.413
225,0.764,0.676
226,0.642,0.632
227,0.717,0.579
228,1.019,0.589
229,0.398,0.469
230,1.219,0.7
231,0.759,0.688
232,0.664,0.755
233,0.543,0.491
234,0.607,0.629
235,0.804,0.399
236,0.693,0.531
237,0.897,0.708
238,0.853,0.522
239,0.265,0.524
240,0.9,0.588
241,0.698,0.616
242,0.87,0.502
243,0.6,0.794
244,0.879,0.499
245,0.555,0.456
246,0.661,0.564
247,0.855,0.62
248,0.408,0.384
249,0.589,0.558
250,0.796,0.694
251,0.755,0.805
252,0.833,0.439
253,0.627,0.488
254,1.094,0.493
255,1.181,0.569
256,0.503,0.65
257,0.9,0.576
258,1.105,0.751
259,0.351,0.972
260,0.668,0.645
261,0.589,0.906
262,1.086,0.812
263,0.399,0.492
264,0.854,0.526
265,0.72,0.65
266,0.781,0.431
267,0.332,0.463
268,0.724,0.426
269,0.87,0.613
270,0.36,0.462
271,0.937,0.6
272,0.907,0.683
273,0.614,0.559
274,0.727,0.583
275,0.932,0.653
276,0.57,0.696
277,0.917,0.523
278,0.561,0.394
279,0.886,0.47
280,0.332,0.535
281,0.827,0.5
282,0.731,0.463
283,0.595,0.582
284,1.038,0.634
285,0.636,0.432
286,0.293,0.614
287,1.184,0.693
288,1.089,0.599
289,0.948,0.602
290,0.789,0.713
291,0.584,0.514
292,0.954,0.817
293,1.055,0.661
294,0.822,0.443
295,0.805,0.733
296,1.148,0.53
297,0.531,0.47
298,0.52,0.53
299,0.73,0.495
300,0.804,0.669
301,0.452,0.41
302,0.725,0.479
303,0.955,0.476
304,0.794,0.751
305,0.434,0.469
306,0.7,0.531
307,1.162,0.59
308,0.483,0.376
309,0.701,0.546
310,1.178,0.577
311,0.719,0.574
312,0.661,0.423
313,0.8,0.509
314,0.333,0.732
315,0.543,0.629
316,0.756,0.433
317,0.964,0.695
318,0.517,0.497
319,0.412,0.692
320,0.379,0.518
321,0.807,0.504
322,0.913,0.664
323,0.445,0.353
324,0.909,0.458
325,0.539,0.587
326,0.692,0.502
327,0.362,0.834
328,0.639,0.434
329,0.988,0.713
330,0.805,0.444
331,0.724,0.862
332,0.515,0.7
333,0.544,0.811
334,0.559,0.427
335,0.493,0.672
336,0.733,0.416
