"Fishery","Fishery Description","Year","* = Preliminary","Resident Permanent Permits Renewed","Nonresident Permanent Permits Renewed","Total Permanent Permits Renewed","Resident Interim Permits Issued","Nonresident Interim Permits Issued","Total Interim Permits Issued","Resident Permits Issued/Renewed","Nonresident Permits Issued/Renewed","Total Permits Issued/Renewed","Resident Total Permits Fished","Nonresident Total Permits Fished","Total Permits Fished","Resident Total Pounds","Nonresident Total Pounds","Total Pounds","Resident Average Pounds","Nonresident Average Pounds","Average Pounds","Resident Total Earnings","Nonresident Total Earnings","Total Earnings","Resident Average Earnings","Nonresident Average Earnings","Average Earnings","Average Permit Price"
"A 11A","ABALONE, DIVING GEAR, SOUTHEAST","1998"," ","0","0","0","5","2","7","5","2","7","0","0","0","0","0","0","0","0","0","$0","$0","$0","$0","$0","$0","."
"A 11A","ABALONE, DIVING GEAR, SOUTHEAST","1997"," ","0","0","0","11","2","13","11","2","13","0","0","0","0","0","0","0","0","0","$0","$0","$0","$0","$0","$0","."
"A 11A","ABALONE, DIVING GEAR, SOUTHEAST","1996"," ","0","0","0","36","3","39","36","3","39","0","0","0","0","0","0","0","0","0","$0","$0","$0","$0","$0","$0","."
"A 11B","ABALONE, DIVING GEAR, STATEWIDE","1999"," ","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","$0","$0","$0","$0","$0","$0","."
"A 11B","ABALONE, DIVING GEAR, STATEWIDE","1998"," ","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","$0","$0","$0","$0","$0","$0","."
"A 11B","ABALONE, DIVING GEAR, STATEWIDE","1997"," ","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","$0","$0","$0","$0","$0","$0","."
"A 11B","ABALONE, DIVING GEAR, STATEWIDE","1996"," ","0","0","0","64","2","66","64","2","66","0","0","0","0","0","0","0","0","0","$0","$0","$0","$0","$0","$0","."
"A 11B","ABALONE, DIVING GEAR, STATEWIDE","1995"," ","0","0","0","168","12","180","168","12","180","90","5","95","14,211","141","14,352","158","28","151","$149,266","$1,475","$150,741","$1,659","$295","$1,587","."
"A 11B","ABALONE, DIVING GEAR, STATEWIDE","1994"," ","0","0","0","155","18","173","155","18","173","90","10","100","21,264","1,339","22,603","236","134","226","$319,652","$19,716","$339,368","$3,552","$1,972","$3,394","."
"A 12B","ABALONE, DIVE/HANDPICK, STATEWIDE","1993"," ","0","0","0","149","30","179","149","30","179","71","14","85","29,116","5,736","34,852","410","410","410","$425,003","$81,973","$506,976","$5,986","$5,855","$5,964","."
"A 12B","ABALONE, DIVE/HANDPICK, STATEWIDE","1992"," ","0","0","0","140","37","177","140","37","177","79","20","99","30,015","5,945","35,960","380","297","363","$337,687","$48,104","$385,791","$4,275","$2,405","$3,897","."
"A 12B","ABALONE, DIVE/HANDPICK, STATEWIDE","1991"," ","0","0","0","149","32","181","149","32","181","78","17","95","35,954","8,128","44,082","461","478","464","$225,740","$41,983","$267,723","$2,894","$2,470","$2,818","."
"A 12B","ABALONE, DIVE/HANDPICK, STATEWIDE","1990"," ","0","0","0","121","29","150","121","29","150","78","19","97","52,556","16,277","68,833","674","857","710","$283,730","$90,444","$374,174","$3,638","$4,760","$3,857","."
"A 12B","ABALONE, DIVE/HANDPICK, STATEWIDE","1989"," ","0","0","0","93","16","109","93","16","109","61","6","67","60,965","5,576","66,541","999","929","993","$310,053","$28,835","$338,888","$5,083","$4,806","$5,058","."
"A 12B","ABALONE, DIVE/HANDPICK, STATEWIDE","1988"," ","0","0","0","65","8","73","65","8","73","40","5","45","66,792","9,308","76,100","1,670","1,862","1,691","$269,773","$37,595","$307,368","$6,744","$7,519","$6,830","."
"A 12B","ABALONE, DIVE/HANDPICK, STATEWIDE","1987"," ","0","0","0","64","8","72","64","8","72","38","4","42","67,570","603","68,173","1,778","151","1,623","$209,020","$1,881","$210,901","$5,501","$470","$5,021","."
"A 12B","ABALONE, DIVE/HANDPICK, STATEWIDE","1986"," ","0","0","0","44","3","47","44","3","47","21","2","23",".",".","60,666",".",".","2,638",".",".","$166,838",".",".","$7,254","."
"A 12B","ABALONE, DIVE/HANDPICK, STATEWIDE","1985"," ","0","0","0","67","5","72","67","5","72","27","0","27","74,806","0","74,806","2,771","0","2,771","$217,476","$0","$217,476","$8,055","$0","$8,055","."
"A 12B","ABALONE, DIVE/HANDPICK, STATEWIDE","1984"," ","0","0","0","69","5","74","69","5","74","28","0","28","95,512","0","95,512","3,411","0","3,411","$234,445","$0","$234,445","$8,373","$0","$8,373","."
"A 12B","ABALONE, DIVE/HANDPICK, STATEWIDE","1983"," ","0","0","0","63","1","64","63","1","64","22","0","22","46,804","0","46,804","2,127","0","2,127","$130,788","$0","$130,788","$5,945","$0","$5,945","."
"A 99B","ABALONE, OTHER GEAR, STATEWIDE","1982"," ","0","0","0","89","16","105","89","16","105","41","6","47","98,932","14,352","113,284","2,413","2,392","2,410","$211,964","$27,843","$239,807","$5,170","$4,641","$5,102","."
"A 99B","ABALONE, OTHER GEAR, STATEWIDE","1981"," ","0","0","0","104","36","140","104","36","140","40","13","53","284,955","82,234","367,189","7,124","6,326","6,928","$512,629","$154,082","$666,711","$12,816","$11,852","$12,579","."
"A 99B","ABALONE, OTHER GEAR, STATEWIDE","1980"," ","0","0","0","69","47","116","69","47","116","19","16","35","33,250","57,227","90,477","1,750","3,577","2,585","$55,528","$95,569","$151,097","$2,923","$5,973","$4,317","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2013"," ","0","0","0","152","2","154","152","2","154","84","0","84","44,063","0","44,063","525","0","525","$172,340","$0","$172,340","$2,052","$0","$2,052","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2012"," ","0","0","0","130","2","132","130","2","132","74","0","74","53,886","0","53,886","728","0","728","$174,659","$0","$174,659","$2,360","$0","$2,360","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2011"," ","0","0","0","140","3","143","140","3","143","91","1","92",".",".","77,018",".",".","837",".",".","$264,979",".",".","$2,880","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2010"," ","0","0","0","126","3","129","126","3","129","85","1","86",".",".","113,082",".",".","1,315",".",".","$287,890",".",".","$3,348","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2009"," ","0","0","0","131","2","133","131","2","133","81","2","83",".",".","72,213",".",".","870",".",".","$143,123",".",".","$1,724","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2008"," ","0","0","0","144","0","144","144","0","144","100","0","100","94,749","0","94,749","947","0","947","$342,435","$0","$342,435","$3,424","$0","$3,424","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2007"," ","0","0","0","165","0","165","165","0","165","100","0","100","81,961","0","81,961","820","0","820","$356,627","$0","$356,627","$3,566","$0","$3,566","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2006"," ","0","0","0","127","0","127","127","0","127","69","0","69","55,183","0","55,183","800","0","800","$200,826","$0","$200,826","$2,911","$0","$2,911","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2005"," ","0","0","0","122","1","123","122","1","123","61","0","61","41,206","0","41,206","676","0","676","$79,876","$0","$79,876","$1,309","$0","$1,309","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2004"," ","0","0","0","132","1","133","132","1","133","52","0","52","30,446","0","30,446","586","0","586","$59,796","$0","$59,796","$1,150","$0","$1,150","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2003"," ","0","0","0","171","0","171","171","0","171","67","0","67","48,364","0","48,364","722","0","722","$103,576","$0","$103,576","$1,546","$0","$1,546","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2002"," ","0","0","0","156","0","156","156","0","156","59","0","59","39,304","0","39,304","666","0","666","$47,571","$0","$47,571","$806","$0","$806","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2001"," ","0","0","0","194","1","195","194","1","195","95","0","95","81,929","0","81,929","862","0","862","$106,882","$0","$106,882","$1,125","$0","$1,125","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","2000"," ","0","0","0","201","0","201","201","0","201","98","0","98","109,080","0","109,080","1,113","0","1,113","$166,573","$0","$166,573","$1,700","$0","$1,700","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1999"," ","0","0","0","187","0","187","187","0","187","91","0","91","74,862","0","74,862","823","0","823","$92,092","$0","$92,092","$1,012","$0","$1,012","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1998"," ","0","0","0","187","0","187","187","0","187","70","0","70","76,302","0","76,302","1,090","0","1,090","$72,314","$0","$72,314","$1,033","$0","$1,033","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1997"," ","0","0","0","197","0","197","197","0","197","107","0","107","133,634","0","133,634","1,249","0","1,249","$181,003","$0","$181,003","$1,692","$0","$1,692","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1996"," ","0","0","0","192","1","193","192","1","193","81","0","81","105,728","0","105,728","1,305","0","1,305","$158,359","$0","$158,359","$1,955","$0","$1,955","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1995"," ","0","0","0","233","1","234","233","1","234","83","1","84",".",".","99,597",".",".","1,186",".",".","$141,357",".",".","$1,683","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1994"," ","0","0","0","284","4","288","284","4","288","89","3","92",".",".","96,852",".",".","1,053",".",".","$154,046",".",".","$1,674","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1993"," ","0","0","0","271","8","279","271","8","279","73","3","76",".",".","91,096",".",".","1,199",".",".","$99,284",".",".","$1,306","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1992"," ","0","0","0","308","13","321","308","13","321","75","5","80","57,135","10,843","67,978","762","2,169","850","$56,689","$10,550","$67,239","$756","$2,110","$840","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1991"," ","0","0","0","339","12","351","339","12","351","83","6","89","48,337","20,432","68,769","582","3,405","773","$94,757","$40,641","$135,397","$1,142","$6,774","$1,521","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1990"," ","0","0","0","372","9","381","372","9","381","113","2","115",".",".","93,624",".",".","814",".",".","$160,702",".",".","$1,397","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1989"," ","0","0","0","360","7","367","360","7","367","103","3","106",".",".","79,732",".",".","752",".",".","$108,666",".",".","$1,025","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1988"," ","0","0","0","404","7","411","404","7","411","117","3","120",".",".","120,900",".",".","1,008",".",".","$138,715",".",".","$1,156","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1987"," ","0","0","0","422","8","430","422","8","430","127","3","130",".",".","72,844",".",".","560",".",".","$92,790",".",".","$714","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1986"," ","0","0","0","486","11","497","486","11","497","107","4","111","55,112","1,358","56,470","515","340","509","$69,952","$1,761","$71,713","$654","$440","$646","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1985"," ","0","0","0","652","4","656","652","4","656","86","1","87",".",".","43,573",".",".","501",".",".","$35,645",".",".","$410","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1984"," ","0","0","0","832","11","843","832","11","843","168","3","171",".",".","55,496",".",".","325",".",".","$41,357",".",".","$242","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1983"," ","0","0","0","797","20","817","797","20","817","260","8","268","91,183","2,065","93,248","351","258","348","$93,878","$1,839","$95,717","$361","$230","$357","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1982"," ","0","0","0","566","13","579","566","13","579","84","1","85",".",".","25,731",".",".","303",".",".","$25,972",".",".","$306","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1981"," ","0","0","0","336","9","345","336","9","345","52","1","53",".",".","17,475",".",".","330",".",".","$15,866",".",".","$299","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1980"," ","0","0","0","269","10","279","269","10","279","32","1","33",".",".","4,465",".",".","135",".",".","$3,892",".",".","$118","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1979"," ","0","0","0","159","3","162","159","3","162","30","2","32",".",".","8,699",".",".","272",".",".","$14,327",".",".","$448","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1978"," ","0","0","0","90","2","92","90","2","92","6","0","6","807","0","807","135","0","135","$1,289","$0","$1,289","$215","$0","$215","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1977"," ","0","0","0","60","3","63","60","3","63","16","0","16","3,883","0","3,883","243","0","243","$4,758","$0","$4,758","$297","$0","$297","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1976"," ","0","0","0","32","3","35","32","3","35","1","0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"B 05B","HALIBUT, HAND TROLL, STATEWIDE","1975"," ","0","0","0","24","1","25","24","1","25","0","0","0","0","0","0","0","0","0","$0","$0","$0","$0","$0","$0","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2013"," ","0","0","0","1,642","328","1,970","1,642","328","1,970","1,413","292","1,705","16,530,854","6,054,135","22,584,989","11,699","20,733","13,246","$61,731,489","$22,715,037","$84,446,527","$43,688","$77,791","$49,529","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2012"," ","0","0","0","1,727","335","2,062","1,727","335","2,062","1,494","305","1,799","18,495,233","6,508,548","25,003,781","12,380","21,340","13,899","$78,831,939","$27,869,475","$106,701,414","$52,766","$91,375","$59,312","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2011"," ","0","0","0","1,741","338","2,079","1,741","338","2,079","1,508","308","1,816","22,718,039","7,951,572","30,669,611","15,065","25,817","16,889","$107,312,559","$38,346,551","$145,659,110","$71,162","$124,502","$80,209","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2010"," ","0","0","0","1,778","341","2,119","1,778","341","2,119","1,544","311","1,855","30,877,290","10,532,366","41,409,656","19,998","33,866","22,323","$108,382,953","$37,557,431","$145,940,384","$70,196","$120,763","$78,674","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2009"," ","0","0","0","1,839","351","2,190","1,839","351","2,190","1,564","314","1,878","32,540,676","9,993,357","42,534,033","20,806","31,826","22,649","$75,018,941","$23,563,819","$98,582,760","$47,966","$75,044","$52,493","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2008"," ","0","0","0","1,890","352","2,242","1,890","352","2,242","1,662","324","1,986","28,060,397","8,644,816","36,705,213","16,884","26,682","18,482","$115,041,301","$35,799,430","$150,840,731","$69,219","$110,492","$75,952","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2007"," ","0","0","0","1,981","365","2,346","1,981","365","2,346","1,748","341","2,089","29,018,591","9,097,573","38,116,164","16,601","26,679","18,246","$121,194,242","$38,556,349","$159,750,592","$69,333","$113,068","$76,472","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2006"," ","0","0","0","2,014","355","2,369","2,014","355","2,369","1,744","329","2,073","30,024,693","9,146,857","39,171,550","17,216","27,802","18,896","$109,587,339","$33,524,924","$143,112,263","$62,837","$101,899","$69,036","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2005"," ","0","0","0","2,041","364","2,405","2,041","364","2,405","1,718","333","2,051","30,069,347","10,320,534","40,389,881","17,503","30,993","19,693","$88,249,247","$30,580,930","$118,830,177","$51,367","$91,835","$57,938","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2004"," ","0","0","0","2,147","359","2,506","2,147","359","2,506","1,787","332","2,119","30,956,355","9,308,654","40,265,009","17,323","28,038","19,002","$90,304,165","$27,271,203","$117,575,368","$50,534","$82,142","$55,486","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2003"," ","0","0","0","2,250","352","2,602","2,250","352","2,602","1,850","317","2,167","29,441,994","9,361,817","38,803,811","15,915","29,533","17,907","$81,669,138","$25,988,845","$107,657,983","$44,145","$81,984","$49,681","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2002"," ","0","0","0","2,231","337","2,568","2,231","337","2,568","1,784","309","2,093","28,674,463","9,121,806","37,796,269","16,073","29,520","18,058","$61,355,799","$19,726,829","$81,082,628","$34,392","$63,841","$38,740","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2001"," ","0","0","0","2,062","305","2,367","2,062","305","2,367","1,529","273","1,802","23,469,349","7,794,737","31,264,086","15,349","28,552","17,350","$45,516,114","$15,404,880","$60,920,995","$29,769","$56,428","$33,807","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","2000"," ","0","0","0","1,899","266","2,165","1,899","266","2,165","1,417","238","1,655","19,481,209","5,378,959","24,860,168","13,748","22,601","15,021","$47,366,090","$13,586,504","$60,952,594","$33,427","$57,086","$36,829","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","1999"," ","0","0","0","1,847","252","2,099","1,847","252","2,099","1,313","226","1,539","19,300,633","5,888,034","25,188,667","14,700","26,053","16,367","$37,069,416","$11,600,466","$48,669,883","$28,233","$51,329","$31,624","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","1998"," ","0","0","0","1,809","243","2,052","1,809","243","2,052","1,197","211","1,408","16,217,358","4,633,518","20,850,876","13,548","21,960","14,809","$20,575,383","$5,998,537","$26,573,920","$17,189","$28,429","$18,874","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","1997"," ","0","0","0","1,596","163","1,759","1,596","163","1,759","1,107","128","1,235","13,815,148","3,417,556","17,232,704","12,480","26,700","13,954","$28,632,441","$7,283,785","$35,916,225","$25,865","$56,905","$29,082","."
"B 06B","HALIBUT, LONGLINE VL UNDER 60', STATEWIDE","1996"," ","0","0","0","1,475","146","1,621","1,475","146","1,621","968","117","1,085","7,942,081","1,692,129","9,634,210","8,205","14,463","8,879","$17,113,032","$3,671,566","$20,784,598","$17,679","$31,381","$19,156","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1995"," ","0","0","0","1,034","39","1,073","1,034","39","1,073","457","25","482","1,482,613","63,633","1,546,246","3,244","2,545","3,208","$2,775,904","$125,927","$2,901,831","$6,074","$5,037","$6,020","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1994"," ","0","0","0","1,528","60","1,588","1,528","60","1,588","762","34","796","1,762,001","116,593","1,878,594","2,312","3,429","2,360","$3,269,549","$222,603","$3,492,152","$4,291","$6,547","$4,387","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1993"," ","0","0","0","1,673","69","1,742","1,673","69","1,742","849","39","888","2,152,423","128,985","2,281,408","2,535","3,307","2,569","$2,524,091","$155,905","$2,679,997","$2,973","$3,998","$3,018","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1992"," ","0","0","0","2,070","86","2,156","2,070","86","2,156","1,124","58","1,182","2,563,346","161,741","2,725,087","2,281","2,789","2,305","$2,462,352","$154,873","$2,617,225","$2,191","$2,670","$2,214","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1991"," ","0","0","0","2,222","100","2,322","2,222","100","2,322","1,195","70","1,265","2,290,422","215,261","2,505,683","1,917","3,075","1,981","$4,375,200","$428,785","$4,803,985","$3,661","$6,126","$3,798","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1990"," ","0","0","0","2,245","92","2,337","2,245","92","2,337","1,182","67","1,249","2,807,832","254,469","3,062,301","2,375","3,798","2,452","$4,876,702","$434,587","$5,311,289","$4,126","$6,486","$4,252","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1989"," ","0","0","0","2,252","76","2,328","2,252","76","2,328","1,145","51","1,196","2,820,323","237,907","3,058,230","2,463","4,665","2,557","$3,923,832","$346,744","$4,270,577","$3,427","$6,799","$3,571","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1988"," ","0","0","0","2,277","84","2,361","2,277","84","2,361","1,297","56","1,353","3,904,166","296,767","4,200,933","3,010","5,299","3,105","$4,513,307","$357,563","$4,870,870","$3,480","$6,385","$3,600","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1987"," ","0","0","0","2,230","69","2,299","2,230","69","2,299","1,225","50","1,275","3,194,955","244,724","3,439,679","2,608","4,894","2,698","$4,467,053","$352,389","$4,819,442","$3,647","$7,048","$3,780","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1986"," ","0","0","0","2,292","51","2,343","2,292","51","2,343","1,093","37","1,130","2,997,110","167,050","3,164,160","2,742","4,515","2,800","$4,107,574","$235,354","$4,342,928","$3,758","$6,361","$3,843","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1985"," ","0","0","0","2,805","50","2,855","2,805","50","2,855","1,046","27","1,073","2,372,000","143,089","2,515,089","2,268","5,300","2,344","$1,943,138","$115,111","$2,058,248","$1,858","$4,263","$1,918","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1984"," ","0","0","0","3,584","97","3,681","3,584","97","3,681","1,588","50","1,638","2,193,661","207,059","2,400,720","1,381","4,141","1,466","$1,520,993","$143,096","$1,664,089","$958","$2,862","$1,016","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1983"," ","0","0","0","3,949","97","4,046","3,949","97","4,046","1,900","60","1,960","2,785,155","174,995","2,960,150","1,466","2,917","1,510","$2,905,937","$180,559","$3,086,495","$1,529","$3,009","$1,575","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1982"," ","0","0","0","3,511","98","3,609","3,511","98","3,609","1,318","52","1,370","1,595,196","128,553","1,723,749","1,210","2,472","1,258","$1,641,920","$130,616","$1,772,536","$1,246","$2,512","$1,294","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1981"," ","0","0","0","3,265","100","3,365","3,265","100","3,365","1,295","54","1,349","1,670,788","139,932","1,810,720","1,290","2,591","1,342","$1,576,814","$129,683","$1,706,497","$1,218","$2,402","$1,265","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1980"," ","0","0","0","3,380","181","3,561","3,380","181","3,561","1,115","66","1,181","1,020,757","85,846","1,106,603","915","1,301","937","$905,562","$75,693","$981,255","$812","$1,147","$831","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1979"," ","0","0","0","2,763","100","2,863","2,763","100","2,863","1,135","52","1,187","1,481,430","95,951","1,577,381","1,305","1,845","1,329","$2,830,773","$184,293","$3,015,066","$2,494","$3,544","$2,540","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1978"," ","0","0","0","1,909","60","1,969","1,909","60","1,969","659","23","682","706,624","74,987","781,611","1,072","3,260","1,146","$1,121,861","$124,745","$1,246,606","$1,702","$5,424","$1,828","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1977"," ","0","0","0","1,293","59","1,352","1,293","59","1,352","425","19","444","578,788","13,731","592,519","1,362","723","1,335","$695,198","$16,988","$712,186","$1,636","$894","$1,604","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1976"," ","0","0","0","1,022","62","1,084","1,022","62","1,084","85","10","95","58,207","9,240","67,447","685","924","710","$19,048","$2,171","$21,219","$224","$217","$223","."
"B 06B","HALIBUT, LONGLINE VL UNDER 5 TON, STATEWIDE","1975"," ","0","0","0","634","22","656","634","22","656","66","3","69",".",".","34,742",".",".","504",".",".","$6,229",".",".","$90","."
"B 06ZL","HALIBUT LANDING PERMIT, LONGLINE, VL UNDER 60', EEZ","2005"," ","0","0","0","1","3","4","1","3","4","0","1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"B 06ZL","HALIBUT LANDING PERMIT, LONGLINE, VL UNDER 60', EEZ","2004"," ","0","0","0","2","1","3","2","1","3","1","1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"B 25B","HALIBUT, DINGLEBAR TROLL, STATEWIDE","2013"," ","0","0","0","9","0","9","9","0","9","0","0","0","0","0","0","0","0","0","$0","$0","$0","$0","$0","$0","."
"B 25B","HALIBUT, DINGLEBAR TROLL, STATEWIDE","2012"," ","0","0","0","6","0","6","6","0","6","0","0","0","0","0","0","0","0","0","$0","$0","$0","$0","$0","$0","."
"B 25B","HALIBUT, DINGLEBAR TROLL, STATEWIDE","2011"," ","0","0","0","5","0","5","5","0","5","0","0","0","0","0","0","0","0","0","$0","$0","$0","$0","$0","$0","."
